ts,x,xc,beta,H,dH,B,W,dW,subjective_alertness,sleepness
9115,0.4057998354046573,-1.2166884534367357,0,0.6108592478982566,0.021381360005590298,0.5567661298388158,5e-324,-1e-323,62.41578994479522,2.4329742250535484
9116,0.12736063528348712,-1.3422501923185894,0,0.632240607903847,0.020206560005283137,0.6152634352205582,-5e-324,1e-323,61.00260782113162,2.8002605850733406
9117,-0.18431492161851382,-1.3949840788357073,0,0.65244716790913,0.019096309455542308,0.677016346960878,5e-324,-1e-323,59.66707306690009,3.187987883377316
9118,-0.5081001003405827,-1.3631895574271737,0,0.6715434773646723,0.01804706168325976,0.7392732207400721,-5e-324,1e-323,58.40491934312083,3.5788794023516
9119,-0.8272961946214046,-1.2401572743886464,0,0.6895905390479321,0.01705546488747626,0.7998691217909654,5e-324,-1e-323,57.21211472504373,3.959342190917045
9120,-1.1129117763382057,-1.0237989653092325,1,0.7066460039354083,-0.1682490485560496,0.8549971437212911,-5e-324,-0.0,27.885529411764708,4.305473869594336
9121,-1.2273259776290115,-0.7212210798740748,1,0.5383969553793587,-0.12818975128079968,0.7019995081973059,-5e-324,-0.0,27.885529411764708,3.344849371140462
9122,-1.1155833729966056,-0.38160591648101716,1,0.41020720409855904,-0.09766838192822834,0.5589144677190065,-5e-324,-0.0,27.885529411764708,2.4464629694488442
9123,-1.069070430576872,-0.07155354613541187,1,0.3125388221703307,-0.07441400527865016,0.4550459105662277,-5e-324,-0.0,27.885529411764708,1.7943046515879542
9124,-0.9844960561313423,0.22691882446292327,1,0.23812481689168052,-0.056696384974209646,0.36935814117398846,-5e-324,-0.0,27.885529411764708,1.2562978372071736
9125,-0.8719998419791903,0.502280749406814,0,0.18142843191747088,0.044976459784754355,0.29766601085329697,-5e-324,1e-323,90.79864081750176,0.8061652812592253
9126,-0.7204560345122946,0.7463001199327728,0,0.22640489170222522,0.04250522573064697,0.3224416811027141,5e-324,-1e-323,87.82596139313998,0.9617239977432703
9127,-0.5182008405415204,0.9480866330057637,0,0.2689101174328722,0.04016977376742461,0.33798628947705683,-5e-324,1e-323,85.01661600308381,1.0593237519625045
9128,-0.26173287038715304,1.0940422346987964,0,0.3090798912002968,0.03796264334064304,0.3439688828229043,5e-324,-1e-323,82.36163024984391,1.0968865921503663
9129,0.037175374959834806,1.1700780243667188,0,0.3470425345409398,0.03587678381643188,0.34208705705879383,-5e-324,1e-323,79.85252283469413,1.0850711943199678
9130,0.35764497317479726,1.1655238204558331,0,0.3829193183573717,0.03390553195838617,0.3352452434331712,5e-324,-1e-323,77.48127846433277,1.0421135776213863
9131,0.6808249708116692,1.075225860634561,0,0.4168248503157579,0.032042590641991324,0.3260708817065624,-5e-324,1e-323,75.24032224618908,0.9845106179280887
9132,0.9895934592378166,0.8987849303625584,0,0.4488674409577492,0.03028200873858521,0.3169546328413483,5e-324,-1e-323,73.12249549058076,0.9272725307907606
9133,1.2131096486945607,0.6400987688572999,0,0.47914944969633444,0.02861816210459701,0.3174419335253495,-5e-324,1e-323,71.12103284242345,0.9303321400034237
9134,1.1646663268132966,0.3214724825813776,0,0.5077676118009314,0.02704573561533344,0.352517590436719,5e-324,-1e-323,69.22954066943961,1.1505612645453012
9135,1.1047174820218337,0.013438587029020288,0,0.5348133474162649,0.025559706185919514,0.3875545070627544,-5e-324,1e-323,67.44197663782852,1.370547150902212
9136,1.0298626876478303,-0.2813395891886435,0,0.5603730536021844,0.024155326725154705,0.4230923573387286,5e-324,-1e-323,65.7526304101521,1.5936782436185744
9137,0.9326286821558722,-0.559280589656745,1,0.5845283803273391,-0.13917342388746168,0.46020897699596136,-5e-324,-0.0,27.885529411764708,1.8267219375320198
9138,0.8027618444107639,-0.8147868798638711,1,0.44535495643987744,-0.106036894390447,0.3383468025799226,-5e-324,-0.0,27.885529411764708,1.0615873014444324
9139,0.6277728808445764,-1.0394285735603626,1,0.33931806204943044,-0.08079001477367391,0.25563593703284837,-5e-324,-0.0,27.885529411764708,0.5422715390750974
9140,0.39856887557890575,-1.2211613107053108,1,0.2585280472757565,-0.06155429697041821,0.20539881616108838,-5e-324,-0.0,27.885529411764708,0.22684830474912854
9141,0.11888714857056609,-1.3448650466279213,1,0.1969737503053383,-0.046898511977461504,0.18112609340088184,-5e-324,-0.0,27.885529411764708,0.07444743889406125
9142,-0.19342412501528172,-1.3953439033006714,1,0.1500752383278768,-0.03573219960187543,0.17585867419241386,-5e-324,-0.0,27.885529411764708,0.04137495435564764
9143,-0.5172981712048719,-1.3610316000631602,1,0.11434303872600138,-0.027224533030000327,0.18329888494761082,-5e-324,-0.0,27.885529411764708,0.08808972024483497
9144,-0.8361441762082843,-1.2353572159072626,1,0.08711850569600105,-0.020742501356190726,0.19857652438456536,-5e-324,-0.0,27.885529411764708,0.18401325966046755
9145,-1.1196636991599185,-1.0163676287546723,1,0.06637600433981032,-0.015803810557097696,0.21562717543782745,-5e-324,-0.0,27.885529411764708,0.2910689867653753
9146,-1.2257787236739286,-0.7117151265743686,1,0.050572193782712625,-0.012040998519693482,0.2139684976484473,-5e-324,-0.0,27.885529411764708,0.2806546655632016
9147,-1.1144423857295673,-0.37245793210534395,1,0.038531195263019145,-0.009174094110242653,0.18708636528077047,-5e-324,-0.0,27.885529411764708,0.11187012954975595
9148,-1.0667542887339443,-0.06266970458711363,0,0.029357101152776493,0.05333202740918811,0.17155544784101126,-5e-324,1e-323,100.84966124380826,0.01435633644438239
9149,-0.9816213958554664,0.23517866763406925,0,0.0826891285619646,0.05040169623285909,0.2135392606294983,5e-324,-1e-323,97.32472794986921,0.27795962001799746
9150,-0.868206835206932,0.5097438279901094,0,0.1330908247948237,0.04763237226402068,0.24882279592790774,-5e-324,1e-323,93.99347230944329,0.4994939482030927
9151,-0.7153683212456001,0.7527037929513786,0,0.18072319705884438,0.045015208952810755,0.27608179428088286,5e-324,-1e-323,90.84525269321662,0.6706447083537399
9152,-0.5115501886763398,0.953077731597364,0,0.22573840601165512,0.04254184582353543,0.29392804616221124,-5e-324,1e-323,87.87001217678261,0.7826957652479822
9153,-0.25363826090624286,1.0972087269001594,0,0.26828025183519055,0.04020438176729722,0.3020902320139927,5e-324,-1e-323,85.05824641399882,0.8339435878911345
9154,0.04617840596631223,1.1710510269456826,0,0.3084846336024878,0.03799534980206111,0.30232905208717836,-5e-324,1e-323,82.4009732755438,0.8354430647440874
9155,0.36694685412601696,1.16408048339826,0,0.3464799834045489,0.03590769321953028,0.2975659677495508,5e-324,-1e-323,79.88970415568522,0.8055371417717696
9156,0.6899694090510244,1.071299942120968,0,0.3823876766240792,0.03393474304263301,0.29041475439757763,-5e-324,1e-323,77.51641685559909,0.7606369005618401
9157,0.9978230754025726,0.8924232443051928,0,0.4163224196667122,0.032070196721609226,0.2833126037155492,5e-324,-1e-323,75.2735299566166,0.7160447085746777
9158,1.2162553776165193,0.6315428972879759,0,0.4483926163883214,0.030308098000641683,0.2862657745520394,-5e-324,1e-323,73.15387860153425,0.7345867484169033
9159,1.1603922030944969,0.31204638082247943,0,0.47870071438896306,0.02864281789071632,0.3240204337164666,5e-324,-1e-323,71.15069160662124,0.9716364936624051
9160,1.1033609258941774,0.0050603302388121385,0,0.5073435322796793,0.027069036687929707,0.36026552085798547,-5e-324,1e-323,69.25756983120895,1.1992081063706301
9161,1.0275623035963617,-0.28943458730312166,0,0.534412568967609,0.025581726979801704,0.397438513898214,5e-324,-1e-323,67.46846573576438,1.432605751196983
9162,0.9295117933164537,-0.5668553269440746,0,0.5599942959474107,0.024176137585307105,0.4360903738983274,-5e-324,1e-323,65.77766406314643,1.6752887410337605
9163,0.7985279249965362,-0.8216337878806768,0,0.5841704335327178,0.0228477783773232,0.4777266611306795,5e-324,-1e-323,64.17976358133166,1.9367100198860698
9164,0.6220843409124183,-1.045254936826683,0,0.607018211910041,0.021592405939008737,0.5240943692664156,-5e-324,1e-323,62.669659829286935,2.227838416869462
9165,0.39131502280003627,-1.2255718552823798,1,0.6286106178490497,-0.1496691947259642,0.5764483253098048,5e-324,0.0,27.885529411764708,2.556552599895988
9166,0.11041031121012523,-1.347409856407604,1,0.4789414231230855,-0.11403367217216322,0.4642237286387758,5e-324,0.0,27.885529411764708,1.8519293126008383
9167,-0.2025165283615662,-1.3956303792918132,1,0.3649077509509223,-0.08688279784545769,0.3919032041815191,5e-324,0.0,27.885529411764708,1.3978512655987183
9168,-0.5264653240577264,-1.3588020987286917,1,0.2780249531054646,-0.066196417406063,0.34820278080235956,5e-324,0.0,27.885529411764708,1.1234699188082575
9169,-0.8449439358657422,-1.2304916214903971,1,0.2118285356994016,-0.05043536564271467,0.32445956235030504,5e-324,0.0,27.885529411764708,0.9743936455765052
9170,-1.1262635241055785,-1.0088826708500225,0,0.16139317005668694,0.046077298348533684,0.31152409781996054,5e-324,-1e-323,92.12285377201803,0.8931758928695881
9171,-1.2239554966914108,-0.7021995803022287,0,0.20747046840522063,0.04354557865905381,0.3706237361141857,-5e-324,1e-323,89.07741539411143,1.2642441136349694
9172,-1.1134842077195786,-0.3633816487497433,0,0.25101604706427444,0.041152964447017895,0.39944349195329426,5e-324,-1e-323,86.19930879521067,1.4451943839034707
9173,-1.06445960415639,-0.05380599708644679,0,0.2921690115112923,0.038891812554324605,0.4340614767453391,-5e-324,1e-323,83.47933992152423,1.6625499277617195
9174,-0.9787339166379647,0.24342399273458826,0,0.33106082406561693,0.036754899776614454,0.4615260551534576,5e-324,-1e-323,80.90881988705134,1.83499146104548
9175,-0.864385208703592,0.5171885113280581,0,0.3678157238422314,0.034735399788888385,0.4830382721624202,-5e-324,1e-323,78.47953721710994,1.9700599711181463
9176,-0.7102389101082779,0.7590811073733588,0,0.4025511236311198,0.032826861338949465,0.4972259703485532,5e-324,-1e-323,76.18373161694552,2.0591401089097685
9177,-0.5048523285330714,0.9580313055792568,0,0.43537798497006924,0.031023187639007188,0.5026748003635276,-5e-324,1e-323,74.0140691816253,2.093351615397231
9178,-0.2455048611524388,1.1003254150164081,0,0.46640117260907643,0.029318616889611186,0.49912697060069655,5e-324,-1e-323,71.96361896802598,2.071075897378144
9179,0.05520421732116798,1.1719644249385173,0,0.4957197894986876,0.027707703873698485,0.4883610673297759,-5e-324,1e-323,70.02583085407498,2.003480144054167
9180,0.37625775496763786,1.1625719607142946,0,0.5234274933723861,0.026185302561956808,0.4732723346352,5e-324,-1e-323,68.19451461451688,1.9087426912341248
9181,0.6991131161111369,1.0673066981630934,0,0.549612795934343,0.0247465496739372,0.4564210175567284,-5e-324,1e-323,66.46382014636308,1.802938520069295
9182,1.0060046647375087,0.8859944923207451,0,0.5743593456082802,0.02338684914240219,0.4402589237987703,5e-324,-1e-323,64.82821878085508,1.701461767457853
9183,1.2191424853966255,0.6229325577708995,0,0.5977461947506824,0.02210185743128119,0.4352345014473122,-5e-324,1e-323,63.28248562224313,1.6699149844970584
9184,1.1561970601474214,0.3026328488047981,0,0.6198480521819636,0.02088746966033167,0.46572698406431234,5e-324,-1e-323,61.821682856961516,1.8613677851906825
9185,1.101863703826614,-0.003326189757016651,0,0.6407355218422952,0.019739806492181582,0.4938570901222076,-5e-324,1e-323,60.441143979882185,2.0379879592918937
