day_ts,B,H,W,beta,dH,dW,sleepness,subjective_alertness,ts,x,xc,day
11,0.3747655859836461,0.4994725396956827,5e-324,0.0,0.027501508807929526,-1e-323,1.2902494988809254,69.77779614105475,5666.0,0.9355360368494872,-0.5521283540816749,261
12,0.4194390529091172,0.5269740485036123,-5e-324,0.0,0.025990436895405918,1e-323,1.5707402830195392,67.96010818243184,5667.0,0.8067141454950869,-0.8083128255763818,261
13,0.4685737152362889,0.5529644853990182,5e-324,0.0,0.02456239091214186,-1e-323,1.8792415235327649,66.24229318856842,5668.0,0.6330890484825908,-1.0339062665184082,261
14,0.5234920082086826,0.5775268763111601,-5e-324,0.0,0.02321280899389231,1e-323,2.2240563794086143,64.61886363392827,5669.0,0.4053628514814515,-1.2169609059465962,261
15,0.5838308597375323,0.6007396853050524,5e-324,0.0,0.021937379928293824,-1e-323,2.6029052340897523,63.08463350536724,5670.0,0.12684790373233362,-1.3424104131341408,261
16,0.6473197959779958,0.6226770652333462,-5e-324,0.0,0.020732029382783176,1e-323,3.0015324895011872,61.63470173551836,5671.0,-0.1848666972591873,-1.395007915496553,261
17,0.7112131596911793,0.6434090946161294,5e-324,1.0,-0.1531926415752689,0.0,3.4026990190446176,27.88552941176471,5672.0,-0.5086576524759929,-1.36306096376216,261
18,0.6005665960365686,0.4902164530408605,5e-324,1.0,-0.11671820310496678,0.0,2.7079837095410784,27.88552941176471,5673.0,-0.8278330307254921,-1.2398686082026675,261
19,0.5219044231724144,0.3734982499358937,5e-324,1.0,-0.08892815474664137,0.0,2.2140884274595853,27.88552941176471,5674.0,-1.1133246304315128,-1.0233507199193417,261
20,0.4481612334501957,0.2845700951892524,5e-324,1.0,-0.0677547845688696,0.0,1.7510779083840151,27.88552941176471,5675.0,-1.2272403470438356,-0.7206460558648744,261
21,0.3655126295243525,0.2168153106203828,5e-324,1.0,-0.05162269300485303,0.0,1.2321530673414265,27.88552941176471,5676.0,-1.1155087689720158,-0.3810501966521816,261
22,0.3076809443168442,0.16519261761552972,5e-324,1.0,-0.03933157562274517,0.0,0.8690459290713329,27.88552941176471,5677.0,-1.0689296826805286,-0.07101538062283519,261
23,0.2570712296213943,0.12586104199278456,5e-324,1.0,-0.0299669147601868,0.0,0.5512832941802297,27.88552941176471,5678.0,-0.984322487836532,0.22741907569681435,261
0,0.2121012203001408,0.09589412723259776,5e-324,0.0,0.049676146855351766,-1e-323,0.26893061270416263,96.45195521420315,5679.0,-0.8717711407917708,0.5027329025061886,262
1,0.24156618289374485,0.14557027408794956,-5e-324,0.0,0.046946688236925854,1e-323,0.4539319352181028,93.16865411969292,5680.0,-0.7201493533818103,0.7466883950005602,262
2,0.2615396673893481,0.1925169623248754,5e-324,0.0,0.0443671998722596,-1e-323,0.5793392231167269,90.06575418422176,5681.0,-0.5177997379180251,0.948389748328764,262
3,0.2717080074273225,0.23688416219713496,-5e-324,0.0,0.04192944163752006,1e-323,0.643183063027287,87.13334325619408,5682.0,-0.2612441502639721,1.0942352885539608,262
4,0.2737855907280427,0.27881360383465503,5e-324,0.0,0.03962562616293104,-1e-323,0.6562275614563995,84.36205380772833,5683.0,0.03771952818163782,1.1701386239139764,262
5,0.2706901553107561,0.3184392299975861,-5e-324,0.0,0.037448393956176586,1e-323,0.636792286623272,81.7430330102772,5684.0,0.358207612054238,1.165438358533356,262
6,0.2650598877703273,0.3558876239537627,5e-324,0.0,0.035390789892650404,-1e-323,0.6014415904268096,79.26791445444425,5685.0,0.6813783659672568,1.074990228232808,262
7,0.2592990442485543,0.39127841384641293,-5e-324,0.0,0.03344624099744983,1e-323,0.5652710483146932,76.92879142365706,5686.0,0.9900927951827364,0.8984018905308874,262
8,0.26299079946269394,0.4247246548438629,5e-324,0.0,0.0316085354481394,-1e-323,0.5884504294133075,74.71819163631973,5687.0,1.2133072421693096,0.6395826015238492,262
9,0.3011178845382051,0.4563331902920023,-5e-324,0.0,0.02987180273120867,1e-323,0.8278385209529926,72.62905337575918,5688.0,1.1644058946271358,0.3209017791071524,262
10,0.338956552726671,0.486204993023211,5e-324,0.0,0.028230494888834563,-1e-323,1.0654157326936886,70.65470293171295,5689.0,1.1046394620895719,0.012931766199778759,262
11,0.3771732434876831,0.5144354879120455,-5e-324,0.0,0.026679368796041457,1e-323,1.3053664304226662,68.78883328129561,5690.0,1.0297242642487805,-0.2818303192833881,262
12,0.4168205039305104,0.541114856708087,5e-324,0.0,0.02521346941164357,-1e-323,1.5542992295964837,67.02548394134078,5691.0,0.9324407560208298,-0.5597400398321883,262
13,0.4593542142838064,0.5663283261197306,-5e-324,0.0,0.02382811394946535,1e-323,1.8213551486999648,65.3590219277571,5692.0,0.8025064653857779,-0.815202470109806,262
14,0.5065200787747378,0.5901564400691961,5e-324,0.0,0.022518876919274948,-1e-323,2.1174949208315503,63.78412376107361,5693.0,0.6274295671002117,-1.0397826362173073,262
15,0.5596045056604,0.6126753169884709,-5e-324,0.0,0.021281575989644457,1e-323,2.450795502753003,62.295758460691424,5694.0,0.3981306176149353,-1.2214299651281602,262
16,0.6181775946018513,0.6339568929781153,5e-324,0.0,0.020112258627576082,-1e-323,2.8185576841394933,60.88917147351704,5695.0,0.1183743314048315,-1.3450210312805508,262
17,0.6799259875192623,0.6540691516056913,-5e-324,0.0,0.01900718947221476,1e-323,3.2062566101619248,59.559869485637954,5696.0,-0.19397476304254213,-1.3953633360386122,262
18,0.7421062439798742,0.6730763410779061,5e-324,0.0,0.017962838402312848,-1e-323,3.5966670728572434,58.303606068521454,5697.0,-0.5178537351985604,-1.3608987456836517,262
19,0.8025683586258668,0.6910391794802191,-5e-324,0.0,0.016975869259328633,1e-323,3.9762898582574917,57.11636811388389,5698.0,-0.8366780130956326,-1.2350646863245411,262
20,0.8573200356978646,0.7080150487395476,5e-324,0.0,0.016043129190134748,-1e-323,4.320058584791512,55.994363013896724,5699.0,-1.1200674190421382,-1.015916264918845,262
21,0.8874408093530299,0.7240581779296823,-5e-324,0.0,0.015161638575292182,1e-323,4.509177540691975,54.934006545776995,5700.0,-1.2256761547137858,-0.7111396280939681,262
22,0.8877665921076564,0.7392198165049745,5e-324,0.0,0.014328581510715687,-1e-323,4.511223029134958,53.93191142205945,5701.0,-1.1143794118730823,-0.3719067297663111,262
